x,y,vx,vy
1.24007,1.79257,-0.606466,-0.684644
1.21418,1.33222,-0.864187,-0.623155
1.13037,1.35882,-0.903153,-0.398176
1.98751,2.22239,0.643136,-0.0392241
1.73042,1.64878,-0.892657,-0.749185
1.01579,2.85006,0.453782,-0.0495689
1.44368,1.37987,-0.929524,-0.98428
1.78176,2.14689,0.445237,-0.633089
1.46197,1.81981,-0.536269,-0.99281
1.29275,2.44088,0.982706,-0.795342
1.73825,1.78866,-0.616157,-0.732662
1.23514,1.75923,-0.686255,-0.673313
1.9523,2.36739,0.914367,-0.149265
1.97888,1.15473,-0.467134,-0.0662973
1.36667,1.23684,-0.677229,-0.913469
1.5956,1.79775,-0.593441,-0.955182
1.02489,2.0001,0.000306227,-0.0781098
1.33609,1.3484,-0.888621,-0.870264
1.20881,1.63025,-0.917347,-0.609887
1.73868,2.98045,0.0613795,-0.731744
1.54351,2.02478,0.0777653,-0.990574
1.64029,1.00296,-0.00930095,-0.904339
1.75497,1.13158,-0.401666,-0.695911
1.52336,2.78153,0.633673,-0.997213
1.2256,2.8675,0.404315,-0.650829
1.32451,2.40157,0.952474,-0.851739
1.98323,2.27707,0.764556,-0.052655
1.19186,2.9767,0.0731187,-0.566837
1.28146,2.7496,0.707957,-0.773376
1.13257,1.29005,-0.790221,-0.404522
1.55574,2.44616,0.985625,-0.984634
1.22132,2.20328,0.596021,-0.640548
1.38417,2.70146,0.806265,-0.934482
1.54242,2.47299,0.99632,-0.991056
1.2433,2.12316,0.37729,-0.692034
1.55909,1.58553,-0.964015,-0.982721
1.97994,1.67907,-0.845791,-0.0629744
1.59629,2.17954,0.534554,-0.954556
1.48252,2.94912,0.159152,-0.998381
1.27893,1.17561,-0.524084,-0.768273
1.43437,1.71019,-0.789703,-0.978716
1.23732,2.0084,0.0263716,-0.678331
1.23875,2.74064,0.72756,-0.681593
1.03842,1.15232,-0.460423,-0.120411
1.65202,1.75178,-0.70308,-0.888048
1.0114,1.22796,-0.656456,-0.0358163
1.57377,2.99578,0.0132465,-0.973192
1.8847,1.62681,-0.921635,-0.354317
1.74181,2.88709,0.347291,-0.724974
1.48679,2.58691,0.96286,-0.999084
1.6023,2.06098,0.190386,-0.948722
1.22184,1.52975,-0.995524,-0.6418
1.34472,2.63318,0.913664,-0.883311
1.82212,2.31203,0.830572,-0.530156
1.59316,1.61005,-0.940746,-0.957376
1.64376,2.97449,0.0800482,-0.899679
1.05795,2.55802,0.983333,-0.181039
1.72154,1.9303,-0.217192,-0.767393
1.29567,1.46452,-0.993704,-0.800866
1.78349,1.90946,-0.280617,-0.628896
1.18307,1.92375,-0.237236,-0.543888
1.54741,1.50823,-0.999581,-0.988843
1.31174,1.71851,-0.773405,-0.830069
1.07974,2.39055,0.941373,-0.247882
1.49377,2.47142,0.995863,-0.999759
1.19683,2.73379,0.742144,-0.579669
1.03084,1.69984,-0.809244,-0.0967224
1.4859,1.30162,-0.811903,-0.998969
1.32261,2.16569,0.497288,-0.848637
1.69644,2.48585,0.998902,-0.815468
1.46524,2.37343,0.921916,-0.993941
1.85953,2.01292,0.0405892,-0.427058
1.13692,2.33393,0.866906,-0.416944
1.90406,1.26446,-0.738423,-0.296824
1.4524,2.622,0.927362,-0.988739
1.55411,2.45905,0.991693,-0.98548
1.0292,2.01499,0.0470676,-0.0916106
1.90835,2.64148,0.902746,-0.283931
1.8755,2.3834,0.933559,-0.381203
1.35972,2.87916,0.370539,-0.904393
1.82277,1.60174,-0.949259,-0.528422
1.07453,2.01197,0.0375875,-0.231985
1.81265,2.30526,0.818532,-0.555111
1.07319,2.91659,0.259024,-0.227876
1.60064,1.1252,-0.383237,-0.950333
1.16971,1.50995,-0.999469,-0.508203
1.78314,1.6124,-0.938245,-0.629739
1.65756,1.89331,-0.328918,-0.879905
1.30804,1.44964,-0.98741,-0.823522
1.4138,2.29915,0.807367,-0.963467
1.92312,1.18048,-0.53709,-0.239152
1.454,1.77444,-0.650724,-0.989509
1.78064,2.63364,0.913067,-0.635805
