time, Ex_field_energy, Ex_max_norm
1.6500000000000008e+00 1.6906506621569492e-01 1.7417433861007390e-02
1.7000000000000008e+00 2.8489937628512751e-01 2.1630130230978609e-02
1.7500000000000009e+00 4.2431121824082213e-01 2.5207660291741082e-02
1.8000000000000009e+00 5.8289426129466104e-01 2.8381927240531919e-02
1.8500000000000010e+00 7.5613172882343582e-01 3.1710424018408762e-02
1.9000000000000010e+00 9.3938954753961434e-01 3.5073932392230195e-02
1.9500000000000011e+00 1.1280160170498232e+00 3.7954370545928887e-02
2.0000000000000009e+00 1.3175946465862545e+00 4.0315746742972829e-02
2.0500000000000007e+00 1.5037819983281009e+00 4.2343559888382114e-02
2.1000000000000005e+00 1.6825280504940858e+00 4.4570558723441803e-02
2.1500000000000004e+00 1.8500499332219575e+00 4.6727754162286167e-02
2.2000000000000002e+00 2.0030169674286031e+00 4.8618847411730240e-02
2.2500000000000000e+00 2.1384243856455276e+00 5.0242274382728470e-02
2.2999999999999998e+00 2.2538196429145310e+00 5.1618638460712386e-02
2.3499999999999996e+00 2.3472193402100694e+00 5.2487050611371280e-02
2.3999999999999995e+00 2.4171289771587583e+00 5.3132223925670082e-02
2.4499999999999993e+00 2.4624920782545741e+00 5.3455348187526251e-02
2.4999999999999991e+00 2.4828064122606022e+00 5.3883426471957735e-02
2.5499999999999989e+00 2.4781219733590931e+00 5.3981458682377456e-02
2.5999999999999988e+00 2.4490192730829432e+00 5.4049766777635129e-02
2.6499999999999986e+00 2.3965165086653069e+00 5.3564695253573325e-02
2.6999999999999984e+00 2.3219480970404525e+00 5.2535680835425841e-02
2.7499999999999982e+00 2.2271453359692743e+00 5.1362501584223050e-02
2.7999999999999980e+00 2.1142637638765200e+00 5.0220853830681762e-02
2.8499999999999979e+00 1.9857849166760988e+00 4.8935264410543473e-02
2.8999999999999977e+00 1.8443348465391263e+00 4.7336380440572999e-02
2.9499999999999975e+00 1.6927591080255362e+00 4.5435745477902384e-02
2.9999999999999973e+00 1.5340111404663739e+00 4.3519951403985915e-02
3.0499999999999972e+00 1.3711222678363280e+00 4.1451091448374944e-02
3.0999999999999970e+00 1.2070459299894365e+00 3.9272791758163630e-02
3.1499999999999968e+00 1.0446937750844545e+00 3.6896871759158227e-02
3.1999999999999966e+00 8.8687001283585809e-01 3.4098748360666828e-02
3.2499999999999964e+00 7.3624519785213405e-01 3.1272353436851162e-02
3.2999999999999963e+00 5.9520363901891271e-01 2.8258923577707436e-02
3.3499999999999961e+00 4.6585544422992431e-01 2.5525965035977451e-02
3.3999999999999959e+00 3.5011999199180815e-01 2.2564598228635453e-02
3.4499999999999957e+00 2.4951696033455406e-01 1.9357030210667443e-02
3.4999999999999956e+00 1.6527248116776944e-01 1.6227028403465640e-02
3.5499999999999954e+00 9.8217479454468598e-02 1.3173084319151771e-02
3.5999999999999952e+00 4.8841845394701204e-02 1.0303780251296683e-02
3.6499999999999950e+00 1.7264236389721063e-02 7.4651594363662477e-03
3.6999999999999948e+00 3.2729483086279890e-03 4.9566455279988954e-03
3.7499999999999947e+00 6.3188928772306011e-03 6.5459916418617488e-03
3.7999999999999945e+00 2.5532393305855289e-02 9.2677891322595577e-03
3.8499999999999943e+00 5.9778392030003853e-02 1.1950075678476628e-02
3.8999999999999941e+00 1.0764609428086105e-01 1.4605533334967096e-02
3.9499999999999940e+00 1.6751661486333519e-01 1.6863932844765055e-02
3.9999999999999938e+00 2.3760158079289645e-01 1.9268110393922809e-02
4.0499999999999936e+00 3.1593527078685252e-01 2.2009968596925833e-02
4.0999999999999934e+00 4.0046067066456698e-01 2.4507154481346424e-02
4.1499999999999932e+00 4.8910905370820423e-01 2.6589133727705220e-02
4.1999999999999931e+00 5.7976109235313700e-01 2.8245578402613852e-02
4.2499999999999929e+00 6.7030748116389616e-01 2.9821831380076155e-02
4.2999999999999927e+00 7.5875875653038938e-01 3.1290527122875118e-02
4.3499999999999925e+00 8.4327458500426289e-01 3.2873733026131328e-02
4.3999999999999924e+00 9.2205807462274569e-01 3.4181290415428368e-02
4.4499999999999922e+00 9.9348323008022710e-01 3.5173194430073940e-02
4.4999999999999920e+00 1.0562121369356758e+00 3.6364475198176746e-02
4.5499999999999918e+00 1.1090952875372002e+00 3.7372108494115909e-02
4.5999999999999917e+00 1.1510728018995189e+00 3.8007745441682332e-02
4.6499999999999915e+00 1.1815239563268565e+00 3.8188598743565970e-02
4.6999999999999913e+00 1.2000658912927189e+00 3.8184136746903206e-02
4.7499999999999911e+00 1.2064437225578606e+00 3.8310781367812685e-02
4.7999999999999909e+00 1.2007286852566379e+00 3.8401514670493908e-02
4.8499999999999908e+00 1.1832303447565364e+00 3.8489846355120753e-02
4.8999999999999906e+00 1.1544823426832107e+00 3.8211450501850798e-02
4.9499999999999904e+00 1.1151832332845975e+00 3.7406711099795133e-02
4.9999999999999902e+00 1.0662736546750804e+00 3.6407779286151257e-02
5.0499999999999901e+00 1.0089016658291230e+00 3.5504227750438412e-02
5.0999999999999899e+00 9.4431292937356959e-01 3.4906117431331471e-02
5.1499999999999897e+00 8.7372056591549652e-01 3.4112804044551109e-02
5.1999999999999895e+00 7.9856971193145387e-01 3.2760397629311225e-02
5.2499999999999893e+00 7.2036679171791307e-01 3.1276413927445276e-02
5.2999999999999892e+00 6.4057799058550713e-01 2.9534765185320569e-02
5.3499999999999890e+00 5.6064229274842892e-01 2.7655750804950821e-02
5.3999999999999888e+00 4.8200659460342854e-01 2.6058326159487326e-02
5.4499999999999886e+00 4.0603213647168312e-01 2.4080278171147280e-02
5.4999999999999885e+00 3.3399527229646359e-01 2.2174173797012652e-02
5.5499999999999883e+00 2.6701963657591826e-01 2.0284360760600969e-02
5.5999999999999881e+00 2.0614531054804566e-01 1.8138789413529286e-02
5.6499999999999879e+00 1.5223121845201659e-01 1.5777101123379191e-02
5.6999999999999877e+00 1.0600370353659257e-01 1.3522689139949152e-02
